feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11			
APC			
ASXL1			
ATM			
AURKA			
AURKB			
AXL			
BARD1			
BCR			
BRCA1			
BRCA2			
BRIP1			
CCND1			
CCND3			
CDKN1A			
CDKN2C		Amplification	
CHEK1			
COL1A1			
CTLA4			
CUL3			
DIS3			
DNMT3B			
EGFR			
EML4			
FAT1			
FGFR4			
FLT3			
FOXA1			
GATA2			
GLI1			
HLA-A			
HLA-B			
HNF1A			
IL7R			
KMT2C			
KNSTRN			
MAP3K1			
MC1R			
MGA			
MLH1			
MLH3			
NOTCH2			
PARP1			
PIK3R2			
PMS2			
POLD1			
POLE			
PRDM14			
PRPF8		Deletion	
PTEN	Frameshift p.Q245fs		
PTPRS			
RAD51B			
RET			
RICTOR			
RNF43			
ROS1			
SLC45A3		Deletion	
TACC3			
TCF3			
TET1		Deletion	
TMPRSS2			
TNFRSF14			
TP53		Deletion	
TSC1			
