feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11		Deletion	
APC			
AR		Amplification	
ASXL1			
ATM			
ATRX			
AURKA			
AURKB			
AXL			
BARD1			
BCR			
BRCA1			
BRCA2			
BRIP1			
CCND1			
CCND3			
CHEK1			
CIC		Deletion	
COL1A1			
CREBBP			
CRLF2			
DIS3			
EGFR			
EIF1AX		Amplification	
EML4			
EPCAM			
EPHA3			
ERBB2			
ERBB3			
ERCC2			
EZH2			
FANCL			
FAT1			
FGFR1		Deletion	
FGFR4			
FOXA1	Missense p.M66I		
GLI1			
HLA-A			
HLA-B			
HNF1A			
IL12RB1			
IL7R			
IRS2			
KDM6A			
KEAP1		Deletion	
KMT2C			
KNSTRN			
MAP3K1			
MC1R		Deletion	
MGA			
MLH3			
MSH6			
NCOA3			
PAK7			
PDGFRA			
PGR			
PIK3CA			
PIK3R2			
PMS2			
PPP4R2		Deletion	
PTPRD			
PTPRS			
PTPRT			
RAD51B			
RNF43			
ROS1			
RPS6KA4			
SETBP1			
SETD2			
TACC3			
TCF3		Deletion	
TET1			
TET2			
TMPRSS2			TMPRSS2
TP53			
TSC1			
