cohort	bin	evidence	feature_type	assertion	event counts	patient counts
KIRP	Investigate Actionability	Clinical evidence	Aneuploidy	prognostic	0	0
KIRP	Investigate Actionability	Clinical evidence	Germline variant	prognostic	0	0
KIRP	Investigate Actionability	Clinical evidence	Mutational signature	prognostic	0	0
KIRP	Investigate Actionability	Clinical evidence	Rearrangement	prognostic	0	0
KIRP	Investigate Actionability	Clinical evidence	Somatic copy number	prognostic	1	1
KIRP	Investigate Actionability	Clinical evidence	Somatic variant	prognostic	7	7
KIRP	Investigate Actionability	Clinical evidence	Tumor mutational burden	prognostic	0	0
KIRP	Investigate Actionability	Clinical trial	Aneuploidy	prognostic	0	0
KIRP	Investigate Actionability	Clinical trial	Germline variant	prognostic	0	0
KIRP	Investigate Actionability	Clinical trial	Mutational signature	prognostic	0	0
KIRP	Investigate Actionability	Clinical trial	Rearrangement	prognostic	0	0
KIRP	Investigate Actionability	Clinical trial	Somatic copy number	prognostic	0	0
KIRP	Investigate Actionability	Clinical trial	Somatic variant	prognostic	3	3
KIRP	Investigate Actionability	Clinical trial	Tumor mutational burden	prognostic	0	0
KIRP	Investigate Actionability	FDA-Approved	Aneuploidy	prognostic	0	0
KIRP	Investigate Actionability	FDA-Approved	Germline variant	prognostic	0	0
KIRP	Investigate Actionability	FDA-Approved	Mutational signature	prognostic	0	0
KIRP	Investigate Actionability	FDA-Approved	Rearrangement	prognostic	0	0
KIRP	Investigate Actionability	FDA-Approved	Somatic copy number	prognostic	0	0
KIRP	Investigate Actionability	FDA-Approved	Somatic variant	prognostic	0	0
KIRP	Investigate Actionability	FDA-Approved	Tumor mutational burden	prognostic	0	0
KIRP	Investigate Actionability	Guideline	Aneuploidy	prognostic	0	0
KIRP	Investigate Actionability	Guideline	Germline variant	prognostic	0	0
KIRP	Investigate Actionability	Guideline	Mutational signature	prognostic	0	0
KIRP	Investigate Actionability	Guideline	Rearrangement	prognostic	0	0
KIRP	Investigate Actionability	Guideline	Somatic copy number	prognostic	3	3
