feature	somatic_mutations	copy_number_alterations	fusions
ABL1			
ALK			
ANKRD11			
APC			
ASXL1			
ASXL2			
ATM			
AURKA			
AURKB			
AXL			
BARD1			
BCR			
BRCA2		Deletion	
BRIP1			
CCND3			
CDKN1B			
CDKN2A		Deletion	
CHEK1			
COL1A1			
CRLF2			
CTLA4			
CUL3			
DIS3			
DNMT1			
DNMT3B			
EML4			
EP300			
EPCAM			
EPHA3			
ERBB2			
ERCC2			
ERRFI1			
ESRP1		Amplification	
EZH2			
FAT1			
FGFR2			
FGFR4			
FLT3		Deletion	
FOXA1			
FOXO1		Deletion	
FOXP1		Deletion	
GLI1			
HLA-A			
HLA-B			
HNF1A			
IDH1			
IL7R			
IRS2			
KDR			
KMT2C			
KMT2D			
KNSTRN			
MAP3K1			
MGA			
MLH3			
MSH2			
MYC		Amplification	
NF1			
NOTCH2			
PIK3R1			
PIK3R2			
PMS2			
POLE			
PPP4R2		Deletion	
PRDM14			
PTPRS			
RAD51B			
RAD51D			
RAD52			
RB1		Deletion	
RICTOR			
RNF43			
RPS6KA4			
SETD2			
STK19			
TBX3			
TET1			
TET2			
TNFRSF14			
TP53			TP53
TSC1			
