feature	somatic_mutations	copy_number_alterations	fusions
AKT3		Deletion	
ALK			
ANKRD11			
APC			
ASXL1			
ATM			
ATRX			
AURKB			
AXL			
BARD1			
BCR			
BLM			
BRCA1			
BRCA2		Deletion	
BRIP1			
CCND1			
CCND3			
CDKN1B			
CHEK1			
COL1A1			
CUL3			
CYSLTR2		Deletion	
DIS3		Deletion	
DNMT1			
DNMT3B			
EGFR			
EML4			
EPHA3			
ERCC2			
ERRFI1		Deletion	
EZH2		Amplification	
FAT1			
FGFR4			
FH		Deletion	
FLT3		Deletion	
FOXA1			
FOXO1		Deletion	
GATA2			
GLI1			
HIST1H1C			
HLA-A			
HLA-B			
HNF1A			
IL7R			
INPPL1			
IRF4			
IRS2		Deletion	
KDR			
KMT2C			
KMT2D			
MAP3K1			
MC1R			
MGA			
MIR17HG		Deletion	
MLH3			
MSH2			
MSH6			
NCOA3			
NOTCH2			
NSD1			
PIK3R2			
PMS2			
POLD1			
POLE			
PPP4R2			
PTPRD			
PTPRS			
RAD51B			
RAD51D			
RB1		Deletion	
RICTOR			
RNF43			
RPTOR			
SDHA			
SETBP1			
SMAD3			
SUZ12			
TET1			
TET2			
TMPRSS2			
TNFRSF14			
TP53			
TSC1			
