	case	comparison	SNF: FDA & CGC
205208	PROS12319B-SU2C-06115123	case-profile	0.4564137289707655
204775	PROS12319B-SU2C-06115123	ACH-000078	0.9974757292985256
204783	PROS12319B-SU2C-06115123	ACH-000102	0.9974892084906122
204813	PROS12319B-SU2C-06115123	ACH-000178	0.9975246176672179
204950	PROS12319B-SU2C-06115123	ACH-000486	0.9975475082159452
204872	PROS12319B-SU2C-06115123	ACH-000329	0.9975561811311829
204977	PROS12319B-SU2C-06115123	ACH-000547	0.9976274859174165
205037	PROS12319B-SU2C-06115123	ACH-000663	0.9976318383421184
204906	PROS12319B-SU2C-06115123	ACH-000396	0.9976387608914641
205189	PROS12319B-SU2C-06115123	ACH-000989	0.9976578788921243
204926	PROS12319B-SU2C-06115123	ACH-000437	0.9976600420851315
204968	PROS12319B-SU2C-06115123	ACH-000527	0.9976601542859338
205060	PROS12319B-SU2C-06115123	ACH-000704	0.9976627851931054
204802	PROS12319B-SU2C-06115123	ACH-000147	0.9976637657484838
205008	PROS12319B-SU2C-06115123	ACH-000609	0.9976654132783607
205086	PROS12319B-SU2C-06115123	ACH-000759	0.997667782851132
204974	PROS12319B-SU2C-06115123	ACH-000544	0.9977145380506144
204938	PROS12319B-SU2C-06115123	ACH-000463	0.9977235107601572
204965	PROS12319B-SU2C-06115123	ACH-000522	0.9977318992577918
204795	PROS12319B-SU2C-06115123	ACH-000129	0.9977390558311441
204879	PROS12319B-SU2C-06115123	ACH-000348	0.9977419202219177
205122	PROS12319B-SU2C-06115123	ACH-000835	0.9977688387770713
205062	PROS12319B-SU2C-06115123	ACH-000711	0.9977814534454841
204782	PROS12319B-SU2C-06115123	ACH-000100	0.9977837208707869
205070	PROS12319B-SU2C-06115123	ACH-000724	0.9977869541159008
204803	PROS12319B-SU2C-06115123	ACH-000148	0.997790559483152
204845	PROS12319B-SU2C-06115123	ACH-000254	0.9977990619941648
204886	PROS12319B-SU2C-06115123	ACH-000355	0.9977992355707763
205003	PROS12319B-SU2C-06115123	ACH-000596	0.99780246600991
204967	PROS12319B-SU2C-06115123	ACH-000525	0.9978058004081788
204762	PROS12319B-SU2C-06115123	ACH-000018	0.997807888322364
204914	PROS12319B-SU2C-06115123	ACH-000420	0.9978086821639198
204761	PROS12319B-SU2C-06115123	ACH-000015	0.9978098476496414
