	reference	citation	year	month	day	date type	note	evidence	evidence note	ids used
0	1	Bahrami, A., et al. C-Met as a potential target for the treatment of gastrointestinal cancer: Current status and future perspectives. Journal of cellular physiology 232, 2657-2673 (2017).								
1	2	Dickson, M.A. Molecular pathways: CDK4 inhibitors for cancer therapy. Clinical cancer research : an official journal of the American Association for Cancer Research 20, 3379-3383 (2014).								
2	3	Schwaederle, M., et al. VEGF-A Expression Correlates with TP53 Mutations in Non-Small Cell Lung Cancer: Implications for Antiangiogenesis Therapy. Cancer research 75, 1187-1190 (2015).								
3	4	Wood, K., Hensing, T., Malik, R. & Salgia, R. Prognostic and Predictive Value in KRAS in Non-Small-Cell Lung Cancer: A Review. JAMA Oncol 2, 805-812 (2016).								
4	5	Wheler, J.J., et al. TP53 Alterations Correlate with Response to VEGF/VEGFR Inhibitors: Implications for Targeted Therapeutics. Molecular cancer therapeutics 15, 2475-2485 (2016).								
5	6	Koehler, K., Liebner, D. & Chen, J.L. TP53 mutational status is predictive of pazopanib response in advanced sarcomas. Annals of oncology : official journal of the European Society for Medical Oncology / ESMO 27, 539-543 (2016).								
6	7	Richard, S., et al. Pertuzumab and trastuzumab: the rationale way to synergy. Anais da Academia Brasileira de Ciencias 88 Suppl 1, 565-577 (2016).								
7	8	Fuentes, G., Scaltriti, M., Baselga, J. & Verma, C.S. Synergy between trastuzumab and pertuzumab for human epidermal growth factor 2 (Her2) from colocalization: an in silico based mechanism. Breast cancer research : BCR 13, R54 (2011).								
8	9	Esteva, F.J. & Pusztai, L. Optimizing outcomes in HER2-positive breast cancer: the molecular rationale. Oncology 19, 5-16 (2005).								
9	10	Hainsworth, J.D., et al. Targeted Therapy for Advanced Solid Tumors on the Basis of Molecular Profiles: Results From MyPathway, an Open-Label, Phase IIa Multiple Basket Study. Journal of clinical oncology : official journal of the American Society of Clinical Oncology 36, 536-542 (2018).								
10	11	Prahallad, A., et al. Unresponsiveness of colon cancer to BRAF(V600E) inhibition through feedback activation of EGFR. Nature 483, 100-103 (2012).								
11	12	Hong, D.S., et al. Phase IB Study of Vemurafenib in Combination with Irinotecan and Cetuximab in Patients with Metastatic Colorectal Cancer with BRAFV600E Mutation. Cancer discovery 6, 1352-1365 (2016).								
12	13	Yang, H., et al. Antitumor activity of BRAF inhibitor vemurafenib in preclinical models of BRAF-mutant colorectal cancer. Cancer research 72, 779-789 (2012).								
13	14	Tiacci, E., et al. Targeting Mutant BRAF in Relapsed or Refractory Hairy-Cell Leukemia. The New England journal of medicine 373, 1733-1747 (2015).								
14	15	Karoulia, Z., Gavathiotis, E. & Poulikakos, P.I. New perspectives for targeting RAF kinase in human cancer. Nature reviews. Cancer 17, 676-691 (2017).								
15	16	Matsuki, M., et al. Lenvatinib inhibits angiogenesis and tumor fibroblast growth factor signaling pathways in human hepatocellular carcinoma models. Cancer medicine 7, 2641-2653 (2018).								
16	17	Tohyama, O., et al. Antitumor activity of lenvatinib (e7080): an angiogenesis inhibitor that targets multiple receptor tyrosine kinases in preclinical human thyroid cancer models. J Thyroid Res 2014, 638747 (2014).								
17	18	Goodman, A.M., et al. Tumor Mutational Burden as an Independent Predictor of Response to Immunotherapy in Diverse Cancers. Molecular cancer therapeutics 16, 2598-2608 (2017).								
18	19	Zhen, J.T., et al. Genetic testing for hereditary prostate cancer: Current status and limitations. Cancer (2018).								
19	20	Itano, O., et al. Sulindac effects on inflammation and tumorigenesis in the intestine of mice with Apc and Mlh1 mutations. Carcinogenesis 30, 1923-1926 (2009).								
20	21	Giardiello, F.M., et al. Primary chemoprevention of familial adenomatous polyposis with sulindac. The New England journal of medicine 346, 1054-1059 (2002).								
21	22	Gounder, M.M., Solit, D.B. & Tap, W.D. Trametinib in Histiocytic Sarcoma with an Activating MAP2K1 (MEK1) Mutation. The New England journal of medicine 378, 1945-1947 (2018).								
22	23	Janku, F., Yap, T.A. & Meric-Bernstam, F. Targeting the PI3K pathway in cancer: are we making headway? Nature reviews. Clinical oncology 15, 273-291 (2018).								
23	24	Angevin, E., et al. Safety, tolerability and antitumour activity of LY2780301 (p70S6K/AKT inhibitor) in combination with gemcitabine in molecularly selected patients with advanced or metastatic cancer: a phase IB dose escalation study. European journal of cancer 83, 194-202 (2017).								
24	25	Machl, A., et al. M2698 is a potent dual-inhibitor of p70S6K and Akt that affects tumor growth in mouse models of cancer and crosses the blood-brain barrier. American journal of cancer research 6, 806-818 (2016).								
25	26	Ma, H., et al. Targeting of Carbon Ion-Induced G2 Checkpoint Activation in Lung Cancer Cells Using Wee-1 Inhibitor MK-1775. Radiation research 184, 660-669 (2015).								
26	27	Osman, A.A., et al. Wee-1 kinase inhibition overcomes cisplatin resistance associated with high-risk TP53 mutations in head and neck cancer through mitotic arrest followed by senescence. Molecular cancer therapeutics 14, 608-619 (2015).								
27	28	Cantile, M., et al. Molecular detection and targeting of EWSR1 fusion transcripts in soft tissue tumors. Medical oncology 30, 412 (2013).								
28	29	Wilson, C., Nimick, M., Nehoff, H. & Ashton, J.C. ALK and IGF-1R as independent targets in crizotinib resistant lung cancer. Scientific reports 7, 13955 (2017).								
29	30	Huang, H.J., et al. R1507, an anti-insulin-like growth factor-1 receptor (IGF-1R) antibody, and EWS/FLI-1 siRNA in Ewing's sarcoma: convergence at the IGF/IGFR/Akt axis. PloS one 6, e26060 (2011).								
