seed	mAP
0	0.11300476229417557
1	0.11059603937049341
2	0.11114785444324897
3	0.11034878347564232
4	0.11248533916057597
5	0.11400072044654617
6	0.1128816113365117
7	0.11350215928390708
8	0.11160297127480583
9	0.11450532911006614
10	0.11223533698373322
11	0.11281274466803588
12	0.11477613502693929
13	0.11271571331973113
14	0.11301259890726685
15	0.11309871752433101
16	0.11347313944105897
17	0.11280474650447261
18	0.1132132684928391
19	0.11405416528661438
20	0.11129688809726115
21	0.11018883147523682
22	0.11351705324635185
23	0.11117750260143149
24	0.11443101978457827
25	0.11210783700388484
26	0.11146723263259768
27	0.11510826246410688
28	0.11356016692987504
29	0.11434482935236079
30	0.11355930555462153
31	0.11327945732968812
32	0.11195300257409249
33	0.11158802909534525
34	0.11129477562287027
35	0.11204403474813372
36	0.11385705806680922
37	0.11377106638916078
38	0.11277167482331175
39	0.11140298740509097
40	0.11204646452082467
41	0.1104437593403708
42	0.11136282681368903
43	0.11251880036404784
44	0.11439272909217064
45	0.11295430224412152
46	0.11392589090595176
47	0.11107400230517844
48	0.11343231155536188
49	0.1135083139284499
50	0.11303813742346924
51	0.11496390385761326
52	0.11159892846397637
53	0.11331096976103613
54	0.11322538042063122
55	0.11209772152134917
56	0.11232333224583543
57	0.11244220458076416
58	0.11281926892838015
59	0.11136750484034456
60	0.10934502543297973
61	0.11367688847480939
62	0.11102297497719335
63	0.11091741255190875
64	0.11087268647821028
65	0.11335688008555442
66	0.11201875680622214
67	0.11021966384195626
68	0.11140604160617314
69	0.1119499968115891
70	0.11399576856323382
71	0.11278602445413204
72	0.11151302724327382
73	0.1120614528107997
74	0.11441019706341897
75	0.11308059238193904
76	0.11302448030499845
77	0.11194379722449056
78	0.1112603396563335
79	0.11370502542453574
80	0.11238380276805437
81	0.1132088221905536
82	0.11443922183388368
83	0.11313122203643525
84	0.11441550289191288
85	0.1140648476212134
86	0.11284051471325345
87	0.11280273984046582
88	0.11264861956740818
89	0.11372324457193335
90	0.11104095036084975
91	0.11462761000930703
92	0.1116675681277159
93	0.11165364791599071
94	0.11127947653817755
95	0.11260077321772875
96	0.11364833438845924
97	0.11250177640384032
98	0.11527045391254237
99	0.11338033375925327
100	0.11241269077540843
101	0.11239002221425777
102	0.1135145843519709
103	0.11166412626811063
104	0.1114924490987365
105	0.1135928184805085
106	0.1137161891800873
107	0.1135549720809906
108	0.11253161428735206
109	0.11194840635926506
110	0.11203972884391289
111	0.1159519907150508
112	0.1133002057738562
113	0.11218347065391696
114	0.1103706721544974
115	0.11165199340901964
116	0.11142981344900114
117	0.11131138457183438
118	0.11124462622430509
