feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11			
APC			
ASXL1			
ATM			
ATRX			
AURKA			
AURKB			
AXL			
BARD1			
BCR			
BRCA1			
BRCA2			
BRIP1			
CCNE1		Amplification	
CDKN1A			
CHEK1			
COL1A1			
CREBBP			
DIS3			
DNMT3B			
EGFR			
EML4			
EPCAM			
ERBB2			
ESR1			
FAT1			
FGFR4			
FLCN		Amplification	
FLT3			
FOXA1			
GLI1			
HLA-A			
HLA-B			
HNF1A			
IL7R			
INPPL1			
IRS2			
JAK2			
KDR			
KMT2C			
KNSTRN			
MAP3K1			
MGA			
MLH3			
MSH2			
NCOA3			
PAK7			
PARP1			
PDGFRA			
PGR			
PIK3R2			
PMS2			
PPP4R2			
PREX2			
PTPRS			
RAD51B			
RAD52			
RNF43			
RPTOR			
RUNX1			RUNX1
SETBP1			
SETD2			
SLC45A3			
SOS1			
SOX17			
TACC3			
TCF3			
TET1			
TNFRSF14			
TP53			
