feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11			
APC			
AR			
ASXL1			
ATM			
AURKA			
AURKB			
AXL			
BARD1			
BCL6			
BCR			
BLM			
BRCA1			
BRCA2			
BRIP1			
CCND1			
CCND3			
CDKN1B			
CDKN2A			
CHEK1			
COL1A1			
DIS3			
DNMT3B			
EML4			
EP300			
EPCAM			
ERBB2			
ERCC2			
FAT1			
FGFR4			
FLT3			
FOXA1			
GLI1			
HLA-A			
HLA-B			
HNF1A			
IL12RB1			
IL7R			
KMT2C			
LIMK2			
MAP3K1		Deletion	
MAP3K13			
MGA			
MLH1			
MLH3			
MPL			
MSH6			
MYOD1			
NCOA3			
NOTCH2			
NTRK1			
PAK7			
PARP1			
PDGFRA			
PIK3R1			
PIK3R2			
PMS2			
POLE			
PRDM14			
PTEN		Deletion	
PTPRS			
PTPRT			
RAD51B			
RET			
RICTOR			
RNF43			
RPS6KA4			
SETBP1			
SETD2			
SOX17			
TACC3			
TCF3			
TET1			
TNFRSF14			
TP53			
