drug	CIViC	MOAlmanac	OncoKB
2,4-pyrimidinediamine	1	0	0
3-dimensional conformal radiation therapy	1	0	0
5-fluoro-2-deoxycytidine	1	0	0
5-fluorouracil	0	1	0
7-ethyl-10-hydroxycamptothecin	1	0	0
9f7-f11	1	0	0
a66	1	0	0
abemaciclib	1	0	1
abexinostat	1	0	0
abiraterone	1	1	0
abiraterone acetate	1	0	0
acly sirna	1	0	0
adavosertib	1	0	0
adjuvant chemotherapy	1	0	0
ado-trastuzumab emtansine	0	1	1
afatinib	1	1	1
afimoxifene	1	0	0
agerafenib	1	0	0
agi-5198	1	0	0
akt inhibitor mk2206	1	0	0
akt/erk inhibitor onc201	1	0	0
akti-1/2	1	0	0
alectinib	1	1	1
alemtuzumab	1	0	0
alisertib	1	0	0
alk inhibitor asp3026	1	0	0
alk2 inhibitor ldn-193189	1	0	0
alkylating chemotherapy	0	1	0
alpelisib	1	1	1
alvespimycin	1	0	0
alvocidib	1	0	0
amg 510	0	1	0
amg-510	0	0	1
amgmds3	1	0	0
aminoglutethimide	1	0	0
amrubicin	1	0	0
amuvatinib	1	0	0
anastrozole	1	0	0
angiogenesis inhibitor	1	0	0
anthracycline antineoplastic antibiotic	1	0	0
anti-cd123	1	0	0
anti-cd33	1	0	0
anti-ctla-4 monoclonal antibody	1	0	0
anti-egfr monoclonal antibody	1	0	0
anti-erbb3 monoclonal antibody av-203	1	0	0
anti-her3 monoclonal antibody gsk2849330	1	0	0
anti-pd-1 monoclonal antibody medi0680	1	0	0
anti-pd-l1 monoclonal antibody	1	0	0
anti-tim-3 monoclonal antibody	1	0	0
anti-vegf monoclonal antibody	1	0	0
apalutamide	1	0	0
apitolisib	1	0	0
arabinosylguanine	1	0	0
aromatase inhibitor	1	0	0
ars-1620	1	0	0
ars-853	1	0	0
arsenic trioxide	1	0	0
as602868	1	0	0
asciminib	0	0	1
asparaginase	1	0	0
aspirin	1	0	0
atezolizumab	1	1	1
atr kinase inhibitor bay1895344	1	0	0
autologous anti-ny-eso-1/lage-1 tcr-transduced c259 t lymphocytes gsk3377794	1	0	0
avapritinib	1	0	1
avelumab	1	0	0
axitinib	1	0	0
az12908010	1	0	0
az20	1	0	0
az628	1	0	0
az909	1	0	0
azacitidine	1	1	0
azathioprine	1	0	0
azd-4547	1	0	0
azd3463	1	0	0
azd3759	0	1	0
azd4547	0	0	1
azd5363	0	0	1
azd5438	1	0	0
azd8186	0	1	1
azd9496	0	0	1
b-raf/vegfr-2 inhibitor raf265	1	0	0
bafetinib	1	0	0
barasertib	0	1	0
bay 1895344	0	1	0
bazedoxifene	1	0	0
belinostat	1	0	0
belvarafenib	1	0	0
bet inhibitor	1	0	0
bevacizumab	1	1	0
bgj398	0	0	1
bicalutamide	1	0	0
binimetinib	1	0	1
birabresib	1	0	0
bleomycin	0	1	0
bortezomib	1	1	0
bosutinib	1	1	1
bptes	1	0	0
braf inhibitor	1	0	0
brigatinib	1	0	1
buparlisib	1	1	0
c-met inhibitor	1	0	0
c646	1	0	0
cabazitaxel	1	0	0
cabozantinib	1	1	1
canertinib	1	0	0
capecitabine	1	1	1
capivasertib	1	0	0
capmatinib	1	1	1
carbogen and nicotinamide 	0	1	0
carboplatin	1	1	0
carboplatin-taxol regimen	0	0	1
carfilzomib	1	0	0
carmustine	1	0	0
cdk inhibitor sns-032	1	0	0
cediranib	1	0	0
celecoxib	1	0	0
cemiplimab	0	0	1
ceritinib	1	1	1
cetuximab	1	1	1
checkpoint kinase inhibitor azd7762	1	0	0
chemotherapy	1	1	0
chlorambucil	1	0	0
