gene	CIViC	MOAlmanac	OncoKB
ABCB1	1	0	0
ABCC10	1	0	0
ABCC3	1	0	0
ABCG2	1	0	0
ABL1	1	1	1
ABL2	1	0	1
ACTA1	1	0	0
ACTL6A	1	0	0
ACVR1	1	0	0
AEBP1	1	0	0
AGR2	1	0	0
AKT1	1	1	1
AKT2	1	1	0
AKT3	1	1	0
ALCAM	1	0	0
ALDH1A2	1	0	0
ALK	1	1	1
AMER1	1	0	0
APC	1	0	0
AR	1	1	0
ARAF	1	1	1
AREG	1	0	0
ARID1A	1	1	0
ARID2	1	0	0
ASCL1	1	0	0
ASNS	1	0	0
ASS1	1	0	0
ASXL1	1	1	1
ATM	1	1	1
ATR	1	0	0
ATRX	1	0	0
ATXN1L	1	0	0
AURKA	1	1	0
AURKB	0	1	0
AXL	1	0	0
B2M	1	1	0
B4GALT1	1	0	0
BAP1	1	0	0
BARD1	1	1	1
BCL10	0	0	1
BCL2	1	0	1
BCL2L11	1	0	0
BCL6	0	0	1
BCOR	1	1	1
BCR	0	1	0
BIRC3	1	0	1
BIRC5	1	0	0
BIRC7	1	0	0
BLM	0	1	0
BRAF	1	1	1
BRCA1	1	1	1
BRCA2	1	1	1
BRD4	1	1	0
BRIP1	0	1	1
BTK	1	0	1
CALR	1	0	1
CARD11	1	0	1
CASP8	1	0	0
CBFA2T3	1	0	0
CBFB	1	0	1
CBL	1	0	1
CBLB	1	0	0
CBLC	1	0	0
CCN2	1	0	0
CCND1	1	1	1
CCND2	1	0	0
CCND3	1	1	1
CCNE1	1	1	0
CD274	1	1	1
CD44	1	0	0
CD79B	1	0	1
CDH1	1	0	0
CDK12	1	1	1
CDK2	1	0	0
CDK4	1	1	1
CDK5	1	0	0
CDK6	1	0	0
CDK9	1	0	0
CDKN1A	1	0	0
CDKN1B	1	0	0
CDKN2A	1	1	1
CDKN2B	1	0	0
CDKN2C	0	1	0
CDX2	1	0	0
CEBPA	1	0	1
CFLAR	1	0	0
CHEK1	1	1	1
CHEK2	1	1	1
CIC	1	0	0
CIITA	0	0	1
CIP2A	1	0	0
COL1A1	0	1	0
CPT1A	0	1	0
CRBN	1	0	0
CREBBP	1	0	1
CRKL	1	1	0
CRLF2	1	0	1
CSF1	1	0	0
CSF1R	1	0	1
CSF3R	1	0	1
CTAG1B	1	0	0
CTAG2	1	0	0
CTLA4	1	0	0
CTNNB1	1	1	0
CUL7	1	0	0
CX3CL1	1	0	0
CXCL10	1	0	0
CXCR4	1	0	1
CYP2D6	1	0	0
DBI	1	0	0
DCC	1	0	0
DDIT3	1	0	0
DDR2	1	0	0
DDX41	1	0	0
DDX43	1	0	0
DEFA1	1	0	0
DEK	1	0	1
DGKH	1	0	0
DICER1	1	0	0
DKK1	1	0	0
DLL3	1	0	0
DNMT1	1	0	0
DNMT3A	1	1	1
DPYD	1	0	0
DRD5	1	0	0
DROSHA	1	0	0
DUSP22	0	0	1
DUSP6	1	0	0
DUX4	1	0	0
ECSCR	1	0	0
ECT2L	0	0	1
EED	0	0	1
EFNA2	1	0	0
EGF	1	0	0
EGFR	1	1	1
EIF1AX	1	0	0
EIF4EBP1	1	0	0
EML4	0	1	0
EP300	1	0	1
EPAS1	1	0	0
EPCAM	1	1	0
EPHB2	1	0	0
EPHB4	1	0	0
EPOR	1	0	1
ERBB2	1	1	1
ERBB3	1	1	0
ERBB4	1	0	0
ERCC1	1	0	0
ERCC2	1	1	1
ERCC5	1	0	0
EREG	1	0	0
ERG	1	1	0
ERRFI1	1	1	0
ESR1	1	1	1
ESRP1	0	1	0
ETNK1	0	0	1
ETS2	1	0	0
ETV1	1	0	0
ETV4	1	0	0
ETV5	1	0	0
ETV6	1	1	1
EWSR1	1	1	0
EZH2	1	1	1
FANCA	1	0	0
FANCC	1	0	0
FANCL	0	1	1
FBXW7	1	1	1
FCGR2A	1	0	0
FCGR2B	1	0	0
FCGR3A	1	0	0
FGF13	1	0	0
FGF19	1	0	0
FGF2	1	0	0
FGF3	1	0	0
FGFR1	1	1	1
FGFR2	1	1	1
FGFR3	1	1	1
FGFR4	1	0	0
FIP1L1	0	1	0
FLCN	1	1	0
FLI1	1	1	1
FLT3	1	1	1
FLT4	1	0	0
FNTB	1	0	0
FOS	1	0	0
FOXC2	1	0	0
FOXL2	1	0	0
FOXO1	1	0	0
FOXO3	1	0	0
FOXP1	1	0	1
FOXP3	1	0	0
FUBP1	1	0	0
GADD45A	1	0	0
GAS6	1	0	0
GATA1	1	0	1
GATA2	1	0	1
GATA3	0	1	1
GLI1	1	0	0
GNA11	1	0	0
