feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11			
APC			
ASXL1			
ATM			
ATRX			
AURKA			
AURKB			
AXL			
BARD1			
BCR			
BRCA1			
BRCA2			
BRD4			
BRIP1			
CASP8			
CCND1			
CCND3			
CHEK1			
COL1A1			
DIS3			
DNMT3B			
EML4			
EP300			
EPCAM			
EPHA3			
ERBB2			
FAT1			
FGFR4			
FLT3			
FOXA1			
FOXL2			
GLI1			
HLA-A			
HLA-B			
HNF1A			
IL7R			
INPPL1			
KMT2C			
KMT2D			
LIMK2			
MAP3K1			
MC1R			
MGA			
MLH1			
MLH3			
MSH2			
MYC		Amplification	
NCOA3			
NOTCH2			
PAK7			
PALB2			
PIK3CD			
PIK3R1			
PIK3R2			
PMS2			
POLD1			
PRDM14			
PTPRD			
PTPRS			
RAD51B			
RET			
RICTOR			
RNF43			
RPS6KA4			
SDHA			
SETBP1			
SETD2			
TACC3			
TCF3			
TCF7L2			
TET1			
TMPRSS2			
TNFRSF14			
TP53			
