pmid	CIViC	MOAlmanac	OncoKB
1516603	0	0	1
1568170	1	0	0
1675110	0	0	1
2181449	1	0	0
2199829	1	0	0
2372767	1	0	0
2403644	1	0	0
2547513	1	0	0
3163261	1	0	0
4030742	1	0	0
4823640	0	1	0
7486065	0	1	0
7553625	1	0	0
7563486	1	0	0
7591282	1	0	0
7628753	1	0	0
7700111	1	0	0
7728151	1	0	0
7759077	1	0	0
7809137	1	0	0
7881415	1	0	0
7915601	1	0	0
7977367	1	0	0
7981696	1	0	0
7987306	1	0	0
7987327	1	0	0
8099841	1	0	0
8187067	1	0	0
8241511	1	0	0
8441429	1	0	0
8462792	1	0	0
8493574	1	0	0
8550742	1	0	0
8592333	1	0	0
8616864	1	0	0
8637704	1	0	0
8641695	1	0	0
8641976	1	0	0
8674046	1	0	0
8707293	1	0	0
8730290	1	0	0
8758206	1	0	0
8768845	1	0	0
8772572	1	0	0
8825918	1	0	0
8829648	1	0	0
8863170	1	0	0
8898652	1	0	0
8901856	1	0	0
8929264	1	0	0
8956040	1	0	0
9106522	1	0	0
9156047	1	0	0
9207459	1	0	0
9215674	1	0	0
9327728	1	0	0
9331072	1	0	0
9354795	1	0	0
9402176	1	0	0
9422511	1	0	0
9426052	1	0	0
9428816	1	0	0
9435426	1	0	0
9452032	1	0	0
9452106	1	0	0
9462753	1	0	0
9488521	1	0	0
9497878	1	0	0
9499454	1	0	0
9523203	1	0	0
9552022	1	0	0
9569050	1	0	0
9581815	1	0	0
9625170	1	0	0
9635567	1	0	0
9663592	1	0	0
9681858	1	0	0
9741544	1	0	0
9788599	1	0	0
9797688	0	1	0
9811934	1	0	0
9829911	1	0	0
9829912	1	0	0
9830390	1	0	0
9839497	1	0	0
9927029	1	0	0
10022713	1	0	0
10080613	1	0	0
10088816	1	0	0
10224221	1	0	0
10340905	1	0	0
10359553	1	0	0
10383129	1	0	0
10408561	1	0	0
10408776	1	0	0
10433955	1	0	0
10485475	1	0	0
10492640	1	0	0
10533030	1	0	0
10533077	1	0	0
10547574	1	0	0
10563480	1	0	0
10567493	1	0	0
10580029	1	0	0
10612832	1	0	0
10617473	1	0	0
10627136	1	0	0
10631138	1	0	0
10682986	1	0	0
10697963	1	0	0
10749302	1	0	0
10761708	1	0	0
10786679	1	0	0
10862095	1	0	0
10866302	1	0	0
10955664	1	0	0
11050000	1	0	0
11051239	1	0	0
11070098	1	0	0
11103785	1	0	0
11106358	1	0	0
11114638	1	0	0
11122430	1	0	0
11144931	1	0	0
11148816	1	0	0
11208838	1	0	0
11238683	1	0	0
11248153	1	0	0
11257211	1	0	0
11257676	1	0	0
11273887	1	0	0
11287972	0	0	1
11287973	0	0	1
11290608	1	0	0
11309459	1	0	0
11325447	1	0	0
11331612	1	0	0
11354926	1	0	0
11409863	1	0	0
