feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11			
APC			
ARID1B			
ASXL1			
ATM			
AURKA			
AURKB			
AXL			
BARD1			
BCL10			
BCR			
BRCA2			
BRIP1			
CCND3			
CDKN1B			
CHEK1			
COL1A1			
DIS3			
DNMT3B			
EGFR		Amplification	
EML4			
EP300			
EPHA3			
ERBB2			
ERCC2			
FAT1			
FGFR4			
FLT3			
FOXA1			
GLI1			
HLA-A			
HLA-B			
HNF1A			
IKZF1		Amplification	
IL12RB1			
IL7R			
IRS2			
KDM6A			
KMT2C			
KNSTRN			
MAP3K1			
MGA			
MLH1			
MLH3			
NCOA3			
NOTCH2			
NSD1			
PAK7			
PARP1			
PIK3R2			
PMS2			
POLE			
POLE2			
PTPRS			
PTPRT			
RAD51B			
RAD51D			
RICTOR			
RNF43			
RPTOR			
SETBP1			
SETD2			
TACC3			
TET1			
TNFRSF14			
TP53		Deletion	
TPX2			
