gene1	gene2	rearrangement_type	locus	disease	context	oncotree_term	oncotree_code	therapy_name	therapy_strategy	therapy_type	therapy_sensitivity	therapy_resistance	favorable_prognosis	predictive_implication	description	preferred_assertion	source_type	citation	url	doi	pmid	nct	last_updated
BCR	ABL1	Fusion		Chronic Myelogenous Leukemia	"Chronic, accelerated, or blast phase"	Chronic Myelogenous Leukemia	CML	Bosutinib	targets BCR-ABL	Targeted therapy	1			FDA-Approved	"The U.S. Food and Drug Administration (FDA) granted approval for bosutinib for adult patients with chronic, accelerated, or blast phase Philidelphia chromosome-positive (Ph+) CML with resistance or intolernace to prior therapy."		FDA	"Pfizer Inc. Bosulif (bosutinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/203441s018lbl.pdf. Revised June 2020. Accessed November 12, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/203441s018lbl.pdf				11/12/20
BCR	ABL1	Fusion		Chronic Myelogenous Leukemia	Chronic phase	Chronic Myelogenous Leukemia	CML	Dasatinib	targets BCR-ABL	Targeted therapy	1			FDA-Approved	"The U.S. Food and Drug Administration (FDA) granted approval for dasatinib for newly diagnosed patients with Philidelphia chromosome-positive (Ph+) CML in chronic phase. It is also approved for adults with chronic, accelerated, myeloid, or lymphoid blast phase Ph+ CML with resistance or intolerance to prior therapy, including imatinib. "		FDA	"Bristol-Myers Squibb Company. Sprycel (dasatinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/021986s021lbl.pdf. Revised December 2018. Accessed November 12, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/021986s021lbl.pdf				11/12/20
BCR	ABL1	Fusion		Acute Lymphoblastic Leukemia		Acute Lymphoid Leukemia	ALL	Dasatinib	targets BCR-ABL	Targeted therapy	1			FDA-Approved	The U.S. Food and Drug Administration (FDA) granted approval for dasatinib for adults with Philidelphia chromosome-positive acute lymphphoblastic leukemia (Ph+ ALL) with resistance or intolerance to prior therapy.		FDA	"Bristol-Myers Squibb Company. Sprycel (dasatinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/021986s021lbl.pdf. Revised December 2018. Accessed November 12, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/021986s021lbl.pdf				11/12/20
BCR	ABL1	Fusion		Chronic Myelogenous Leukemia	Chronic phase	Chronic Myelogenous Leukemia	CML	Imatinib	BCR-ABL inhibition	Targeted therapy	1			FDA-Approved	The U.S. Food and Drug Administration (FDA) granted approval for imatinib for newly diagnosed adult and pediatric patients with Philidelphia chromosome-positive (Ph+) CML in chronic phase. 		FDA	"Novartis Pharmaceuticals Corporation. Gleevec (imatinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021588s056s057lbl.pdf. Revised August 2020. Accessed November 12, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021588s056s057lbl.pdf				11/12/20
BCR	ABL1	Fusion		Acute Lymphoblastic Leukemia	Relapsed or refactory	Acute Lymphoid Leukemia	ALL	Imatinib	BCR-ABL inhibition	Targeted therapy	1			FDA-Approved	The U.S. Food and Drug Administration (FDA) granted approval for imatinib for adult patients with relapsed or refactory Philidelphia chromosome-positive acute lymphphoblastic leukemia (Ph+ ALL). 		FDA	"Novartis Pharmaceuticals Corporation. Gleevec (imatinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021588s056s057lbl.pdf. Revised August 2020. Accessed November 12, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021588s056s057lbl.pdf				11/12/20
BCR	ABL1	Fusion		Chronic Myeloid Leukemia	Chronic Phase CML	Chronic Myelogenous Leukemia	CML	Dasatinib	targets BCR-ABL	Targeted therapy	1			Guideline	"SPRYCEL (dasatinib) is indicated for the treatment of adult patients with: newly diagnosed Philadelphia chromosome-positive (Ph+) chronic myeloid leukemia (CML) in chronic phase; chronic, accelerated, or myeloid or lymphoid blast phase Ph+ CML with resistance or intolerance to prior therapy including imatinib; Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph+ ALL) with resistance or intolerance to prior therapy. SPRYCEL (dasatinib) is indicated for the treatment of pediatric patients 1 year of age and older with Ph+ CML in chronic phase, newly diagnosed Ph+ ALL in combination with chemotherapy. Translocations predict sensitivity to tyrosine kinase inhibitors such as imatinib, dasatinib, and nilotinib. Secondary mutations can cause resistance to these agents. Nilotinib or Bosutinib are second-line and subsequent therapies for cytogenetic or hematologic resistance to TKIs."		Guideline	"National Comprehensive Cancer Network. Chronic Myelogenous Leukemia (Version 1.2016). https://www.nccn.org/professionals/physician_gls/pdf/cml.pdf. Accessed November 5, 2016."	https://www.nccn.org/professionals/physician_gls/pdf/cml.pdf				1/30/19
BCR	ABL1	Fusion		Acute Lymphoblastic Leukemia	Resistance or intolerance to prior therapy	Chronic Myelogenous Leukemia	CML	Dasatinib	targets BCR-ABL	Targeted therapy	1			Guideline	"SPRYCEL (dasatinib) is indicated for the treatment of adult patients with: newly diagnosed Philadelphia chromosome-positive (Ph+) chronic myeloid leukemia (CML) in chronic phase; chronic, accelerated, or myeloid or lymphoid blast phase Ph+ CML with resistance or intolerance to prior therapy including imatinib; Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph+ ALL) with resistance or intolerance to prior therapy. SPRYCEL (dasatinib) is indicated for the treatment of pediatric patients 1 year of age and older with Ph+ CML in chronic phase, newly diagnosed Ph+ ALL in combination with chemotherapy. Translocations predict sensitivity to tyrosine kinase inhibitors such as imatinib, dasatinib, and nilotinib. Secondary mutations can cause resistance to these agents. Nilotinib or Bosutinib are second-line and subsequent therapies for cytogenetic or hematologic resistance to TKIs."		Guideline	"National Comprehensive Cancer Network. Chronic Myelogenous Leukemia (Version 1.2016). https://www.nccn.org/professionals/physician_gls/pdf/cml.pdf. Accessed November 5, 2016."	https://www.nccn.org/professionals/physician_gls/pdf/cml.pdf				1/30/19
BCR	ABL1	Fusion		Chronic Myeloid Leukemia	Chronic Phase CML	Chronic Myelogenous Leukemia	CML	Imatinib	BCR-ABL inhibition	Targeted therapy	1			Guideline	"Translocations predict sensitivity to tyrosine kinase inhibitors such as imatinib, dasatinib, and nilotinib. Secondary mutations can cause resistance to these agents. Dasatinib, Nilotinib, or Bosutinib are second-line and subsequent therapies for cytogenetic or hematologic resistance to TKIs."		Guideline	"National Comprehensive Cancer Network. Chronic Myelogenous Leukemia (Version 1.2016). https://www.nccn.org/professionals/physician_gls/pdf/cml.pdf. Accessed November 5, 2016."	https://www.nccn.org/professionals/physician_gls/pdf/cml.pdf				11/3/17
BCR	ABL1	Fusion		Chronic Myeloid Leukemia	Chronic Phase CML	Chronic Myelogenous Leukemia	CML	Nilotinib	BCR-ABL inhibition	Targeted therapy	1			Guideline	"Translocations predict sensitivity to tyrosine kinase inhibitors such as imatinib, dasatinib, and nilotinib. Secondary mutations can cause resistance to these agents. Dasatinib or Bosutinib are second-line and subsequent therapies for cytogenetic or hematologic resistance to TKIs."		Guideline	"National Comprehensive Cancer Network. Chronic Myelogenous Leukemia (Version 1.2016). https://www.nccn.org/professionals/physician_gls/pdf/cml.pdf. Accessed November 5, 2016."	https://www.nccn.org/professionals/physician_gls/pdf/cml.pdf				11/3/17
BCR	ABL1	Fusion		Chronic Myeloid Leukemia	Newly diagnosed chronic phase CML	Chronic Myelogenous Leukemia	CML	Nilotinib	BCR-ABL inhibition	Targeted therapy	1			Clinical trial	Nilotinib was superior to imatinib in patients (n=846) with newly diagnosed chronic-phase Ph+ CML.		Journal	"Saglio G, Kim D, Issaragrisil S, et al. Nilotinib versus Imatinib for Newly Diagnosed Chronic Myeloid Leukemia N Engl J Med. 2010; 362(24):2251-2259."	https://doi.org/10.1056/NEJMoa0912614	10.1056/NEJMoa0912614	20525993	NCT00471497	8/14/19
