gene	direction	cytoband	disease	context	oncotree_term	oncotree_code	therapy_name	therapy_strategy	therapy_type	therapy_sensitivity	therapy_resistance	favorable_prognosis	predictive_implication	description	preferred_assertion	source_type	citation	url	doi	pmid	nct	last_updated
AR	Amplification		Prostate Cancer	Castration Resistant Prostate Cancer	Prostate Adenocarcinoma	PRAD	Abiraterone	Antiandrogen	Hormone therapy		1		Guideline	Androgen receptor activation is a potential mechanism of recurrence of prostate cancer during androgen deprivation therapy.		Guideline	"National Comprehensive Cancer Network. Prostate Cancer NCCN Evidence Blocks (Version 3.2016). Accessed November 5, 2016."	https://www.nccn.org/professionals/physician_gls/pdf/prostate_blocks.pdf				11/3/17
AR	Amplification		Prostate Cancer	Castration Resistant Prostate Cancer	Prostate Adenocarcinoma	PRAD	Abiraterone	Antiandrogen	Hormone therapy	1			Guideline	Androgen receptor activation may predict sensitivity to second generation androgen deprivation or direct androgen inhibitors.		Guideline	"National Comprehensive Cancer Network. Prostate Cancer NCCN Evidence Blocks (Version 3.2016). Accessed November 5, 2016."	https://www.nccn.org/professionals/physician_gls/pdf/prostate_blocks.pdf				11/3/17
AR	Amplification		Prostate Cancer	Castration Resistant Prostate Cancer	Prostate Adenocarcinoma	PRAD	Enzalutamide	Antiandrogen	Hormone therapy	1			Guideline	Androgen receptor activation may predict sensitivity to second generation androgen deprivation or direct androgen inhibitors.		Guideline	"National Comprehensive Cancer Network. Prostate Cancer NCCN Evidence Blocks (Version 3.2016). Accessed November 5, 2016."	https://www.nccn.org/professionals/physician_gls/pdf/prostate_blocks.pdf				11/3/17
AR	Amplification		Breast Cancer	Triple-negative	Invasive Breast Carcinoma	BRCA	Radiation therapy	Radiation	Radiation therapy		1		Inferential	"In analysis of triple-negative breast cancer samples and cell lines, increased expression of androgen receptor was associated with increased risk of locoregional recurrence after RT. Radiation resistance in androgen receptor-postive, TNBC cell lines was reversed with enzalutamide."		Journal	"Speers C, Zhao SG, Chandler B, et al. Androgen receptor as a mediator and biomarker of radioresistance in triple-negative breast cancer npj Breast Cancer. 2017; 3(1)."	https://doi.org/10.1038/s41523-017-0038-2	10.1038/s41523-017-0038-2	28840192		8/9/19
ARID1A	Deletion		Ovarian Cancer	Metastatic	"Ovarian Cancer, Other"	OOVC	Durvalumab	PD-1/PD-L1 inhibition	Immunotherapy	1			Preclinical	"Loss of function ARID1A mutations may predict sensitivity to immune checkpoint blockade, particularly PD-L1 inhibition. Anti-PD-L1 antibody reduced tumor mutational burden and prolonged survival of mice ARID1A-deficient but not ARID1A-wild-type ovarian tumors."		Journal	"Shen J, Ju Z, Zhao W, et al. ARID1A deficiency promotes mutability and potentiates therapeutic antitumor immunity unleashed by immune checkpoint blockade. Nat Med. 2018;24(5):556-562."	https://doi.org/10.1038/s41591-018-0012-z	10.1038/s41591-018-0012-z	29736026		2/4/19
AURKA	Amplification	20q13.2	Prostate Cancer	Castration Resistant Prostate Cancer	Prostate Neuroendocrine Cancer	PRNE	Danusertib	Aurora kinase inhibition	Targeted therapy	1			Preclinical	"Neuroendocrine prostate cancer (NEPC) cell lines shows enhanced sensitivity to pan-Aurora kinase inhibitor therapy, specifically to PHA-739358 (Danusertib)."		Journal	"Beltran H, Rickman DS, Park K, et al. Molecular characterization of neuroendocrine prostate cancer and identification of new drug targets. Cancer Discov. 2011;1(6):487-95."	https://doi.org/10.1158/2159-8290.CD-11-0130	10.1158/2159-8290.CD-11-0130	22389870		11/3/17
AURKA	Amplification	20q13.2	Colorectal Cancer		Colorectal Adenocarcinoma	COADREAD						0	Preclinical	Downmodulation of TPX2 and AURKA in the presence of 20q copy gain was shown to tumor growth		Journal	"Sillars-Hardebol, Anke H., et al. ""TPX2 and AURKA promote 20q amplicon-driven colorectal adenoma to carcinoma progression."" Gut 61.11 (2012): 1568-1575."	https://doi.org/10.1136/gutjnl-2011-301153	10.1136/gutjnl-2011-301153	22207630		11/3/17
AURKB	Amplification		Small-Cell Lung Cancer	Advanced	Small Cell Lung Cancer	SCLC	Barasertib	Aurora-B kinase inhibition	Targeted therapy	1			Preclinical	MYC amplified small cell lung cancer		Journal	"Helfrich BA, Kim J, Gao D, et al. Barasertib (AZD1152), a Small Molecule Aurora B Inhibitor, Inhibits the Growth of SCLC Cell Lines In Vitro and In Vivo. Mol Cancer Ther. 2016;15(10):2314-2322."	https://doi.org/10.1158/1535-7163.MCT-16-0298	10.1158/1535-7163.MCT-16-0298	27496133		11/3/17
BRAF	Amplification		Colorectal Cancer		Colorectal Adenocarcinoma	COADREAD	Selumetinib	MEK inhibition	Targeted therapy		1		Preclinical	BRAF V600E mutant colorectal cancer cell lines were cultured in increasing concentrations of the MEK inhibitor AZD6244 (Selumetinib). FISH analysis marked increase in BRAF gene copies in resistant cells.		Journal	"Corcoran, Ryan B., et al. ""BRAF gene amplification can promote acquired resistance to MEK inhibitors in cancer cells harboring the BRAF V600E mutation."" Science signaling 3.149 (2010): ra84."	https://doi.org/10.1126/scisignal.2001148	10.1126/scisignal.2001148	21098728		11/3/17
BRAF	Amplification		Melanoma	Metastatic	Melanoma	MEL	Vemurafenib	B-RAF inhibition	Targeted therapy		1		Clinical evidence	Amplification of BRAF may predict resistance to RAF inhibition.		Journal	"Wagle, Nikhil, et al. ""MAP kinase pathway alterations in BRAF-mutant melanoma patients with acquired resistance to combined RAF/MEK inhibition."" Cancer discovery 4.1 (2014): 61-68."	https://doi.org/10.1158/2159-8290.CD-13-0631	10.1158/2159-8290.CD-13-0631	24265153		11/3/17
