feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11			
APC			
AR		Amplification	AR
ARID1B			
ASXL1			
ATM			
AURKA			
AURKB			
AXL			
BARD1			
BCL6		Amplification	
BCR			
BRCA1			
BRCA2			
BRIP1			
CCND1			
CHEK1			
CIC	Missense p.S1574Y		
COL1A1			
CUL3			
DIS3			
DNMT3B			
EGFR			
EML4			
EPAS1			
EPHA3			
ERBB2			
ERG			ERG
EZH2			
FAT1			
FGFR4			
FLT3			
GLI1			
HLA-A			
HLA-B			
HNF1A			
IL7R			
IRS2			
KDR			
KMT2C			
KMT2D			
MAP3K1			
MC1R			
MGA	Missense p.L2587S		
MLH3			
MSH6			
NOTCH2			
PIK3R1			
PIK3R2			
PMS2			
POLD1			
PRKCI		Amplification	
PTEN	Splice Site 		
PTPRD			
PTPRS			
RAD51D			
RICTOR			
RNF43			
RPS6KA4			
SETBP1			
TACC3			
TCF3			
TET1			
TET2			
TMPRSS2			TMPRSS2
TNFRSF14			
TP53			
TP63		Amplification	
TRAF7		Amplification	
